"광주시, 예타면제 불구 ‘인공지능’ 적정성 검토 하세월",http://www.honam.co.kr/article.php?aid=1575359892603850227
‘인공지능 중심도시 광주’ 우뚝 세운다,http://www.jndn.com/article.php?aid=1578996433293563001
"광주시, AI 사관학교 개설 인공지능 인재 양성 팔걷어",http://www.segye.com/content/html/2019/11/19/20191119513187.html?OutUrl=naver
인공지능 중심도시 광주 전략 구체화 속도,http://www.newsprime.co.kr/news/article.html?no=486849
‘AI 인재는 광주서 나온다’ 명불허전 되도록,http://www.kjdaily.com/read.php3?aid=1590913791512383018
인공지능 실무인재 양성 인공지능사관학교 개교,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_05&menuId=56_65_76&nwid=359957
광주시 인공지능 4대강국 대한민국 견인차로,http://www.gjdream.com/v2/news/view.html?news_type=201&uid=501541
"이용섭 광주시장 ""인공지능 광주시대 활짝 열겠다""",http://www.newsfreezone.co.kr/news/articleView.html?idxno=213412
"광주시, 인공지능 중심도시 광주 전략 구체화 속도",http://www.viva100.com/main/view.php?key=20191212010004611
"광주시, 인공지능 산업육성 정부와 발 맞춘다",https://view.asiae.co.kr/article/2019102817324135275
"광주시의회, '인공지능 예산' 제동…""구체성 없어 재검토""",http://yna.kr/AKR20191128104000054?did=1195m
"광주시, 인공지능 산업육성 정부와 발맞춰 간다",http://www.newsway.co.kr/news/view?tp=1&ud=2019102820280556238
"광주시,인공지능 4대강국 대한민국 견인차",http://www.newsworker.co.kr/news/articleView.html?idxno=54919
4차 산업혁명 이끌 인공지능 인재양성 위해 MOU,http://www.newsrep.co.kr/news/articleView.html?idxno=99134
"""인공지능 광주시대를 활짝 열겠습니다""",http://www.weeklytoday.com/news/articleView.html?idxno=139004
"광주 인공지능 산업, 정부 방침에 발맞춰 '속도'",http://www.newsprime.co.kr/news/article.html?no=480838
"광주시, “광주, 세계적 도시로 도약할 유일 돌파구가 인공지능” 판단",http://www.newsway.co.kr/news/view?tp=1&ud=2020012918392579649
'인공지능 중심도시' 광주 선언…추진 배경·전략은,http://www.namdonews.com/news/articleView.html?idxno=558078
"광주시, 인공지능 클러스터·플랫폼·인재양성 총 망라",http://www.wikitree.co.kr/main/news_view.php?id=500663
인공지능 클러스터·플랫폼·인재양성 총 망라,http://www.breaknews.com/707463
"광주시, 인공지능 중심도시 광주 전략 구체화 '속도'",http://www.aitimes.com/news/articleView.html?idxno=123355
'인공지능 중심도시 광주' 도약 첫 걸음 뗀다,https://www.jnilbo.com/view/media/view?code=2020012817094304422
"이용섭 광주시장, 인공지능 산업육성 위한 4자간 협약식 참석",http://www.enewstoday.co.kr/news/articleView.html?idxno=1345288
